parameter,Mean,MCSE,StdDev,MAD,5%,50%,95%,ESS_bulk,ESS_tail,ESS_bulk/s,R_hat,run,n_subjects,chains,draws_per_chain,warmup_per_chain,adapt_delta,divergences,max_depth_hits,min_bfmi,passed
"natural[89,1]",0.422258,0.00260226,0.26387,0.297009,0.0501052,0.382455,0.905121,9399.72,8671.73,2.92682,1.00041,N111_H8_zero_full,111,4,4000,3000,0.99,0,0,0.6927154024253648,True
"natural[89,2]",0.275402,0.000994117,0.115305,0.110678,0.106406,0.26373,0.480048,12785.2,10122.6,3.98095,0.999894,N111_H8_zero_full,111,4,4000,3000,0.99,0,0,0.6927154024253648,True
"natural[89,3]",0.0351678,0.000770384,0.0692355,0.0196257,0.000941401,0.0168708,0.113258,12672.3,11442.8,3.94581,1.00006,N111_H8_zero_full,111,4,4000,3000,0.99,0,0,0.6927154024253648,True
"natural[89,4]",2.27811,0.00403885,0.582812,0.57653,1.38467,2.24563,3.29015,21880.6,11959.8,6.81303,1.0002,N111_H8_zero_full,111,4,4000,3000,0.99,0,0,0.6927154024253648,True
"natural[90,1]",0.0223683,0.000164541,0.022399,0.0163326,0.00112662,0.0151293,0.0681937,15562.0,11091.5,4.84559,0.999942,N111_H8_zero_full,111,4,4000,3000,0.99,0,0,0.6927154024253648,True
"natural[90,2]",0.490861,0.00101086,0.135554,0.116777,0.309822,0.472823,0.72595,20171.4,13002.5,6.28082,1.00004,N111_H8_zero_full,111,4,4000,3000,0.99,0,0,0.6927154024253648,True
"natural[90,3]",0.465269,0.00162514,0.208833,0.215935,0.153585,0.441519,0.851479,16229.4,11768.9,5.05338,1.00005,N111_H8_zero_full,111,4,4000,3000,0.99,0,0,0.6927154024253648,True
"natural[90,4]",1.52148,0.00310684,0.482059,0.48066,0.745508,1.51107,2.33433,24104.2,13752.2,7.5054,1.0001,N111_H8_zero_full,111,4,4000,3000,0.99,0,0,0.6927154024253648,True
"natural[91,1]",0.7324,0.00133465,0.163286,0.190886,0.452218,0.738816,0.974729,14146.5,10235.9,4.40482,1.00022,N111_H8_zero_full,111,4,4000,3000,0.99,0,0,0.6927154024253648,True
"natural[91,2]",1.58899,0.00282721,0.401662,0.38607,1.0173,1.54387,2.31181,19701.9,13883.6,6.13463,0.99992,N111_H8_zero_full,111,4,4000,3000,0.99,0,0,0.6927154024253648,True
