model,n,k,log_likelihood,AIC,AICc,BIC,pseudo_r2_fareri,pseudo_r2_mcfadden,converged,n_starts,n_converged,n_near_best,boundary_parameters,optimizer_message,participant_id,heldout_n,heldout_log_loss,heldout_accuracy,heldout_brier,split,kappa,alpha,theta,theta_stranger,alpha_negative,phi
M0,40,0,-27.725887222397812,55.451774444795625,55.451774444795625,55.451774444795625,0.0,0.0,True,1,1,1,,exact,sub-10636,42,0.6931471805599452,0.9047619047619048,0.25,run_1_to_2,,,,,,
M1,40,1,-27.726074723169678,57.452149446339355,57.557412604234095,59.14102890045329,-0.03607413868306741,-6.7626608433180024e-06,True,100,100,100,kappa,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10636,42,0.6931520615319691,0.09523809523809523,0.25000244048601183,run_1_to_2,1e-05,,,,,
M2,40,2,-27.726074723169678,59.452149446339355,59.77647377066368,62.82990835456723,-0.0721415147052915,-6.7626608433180024e-06,True,100,100,100,alpha;kappa,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10636,42,0.6931520615319691,0.09523809523809523,0.25000244048601183,run_1_to_2,1e-05,0.0,,,,
M5,40,3,-23.06302349070869,52.12604698141738,52.792713648084046,57.192685343759194,0.05997513148455028,0.16817725955122254,True,100,100,100,alpha;theta,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10636,42,0.6055825627636241,0.38095238095238093,0.22071128580567154,run_1_to_2,0.20319622442687646,0.0,5.0,,,
M6,40,3,-16.40400147652052,38.80800295304104,39.474669619707704,43.874641315382846,0.30014858241054304,0.4083507104772153,True,100,100,99,alpha;theta,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10636,42,0.4658188187206208,0.6190476190476191,0.16407251028727718,run_1_to_2,0.2761857132653315,0.0,5.0,,,
M7,40,4,-16.39265514654452,40.78531029308904,41.928167435946186,47.54082810954478,0.26449043873803557,0.40875994282693195,True,100,100,100,alpha;theta,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10636,42,0.4658427806760452,0.6190476190476191,0.16500116939494985,run_1_to_2,0.2905265426701125,0.0,5.0,4.566129177461931,,
M8,40,3,-20.74231765741407,47.48463531482814,48.151301981494804,52.551273677169945,0.14367690141095626,0.2518790294776285,True,100,100,98,alpha;alpha_negative,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10636,42,0.3530166644516991,0.9047619047619048,0.10059780615379953,run_1_to_2,0.614383704231955,1.0,,,0.0,
M3,40,3,-12.044727895486911,30.089455790973823,30.75612245764049,35.156094153315635,0.45737614184142955,0.5655782699081018,True,100,100,89,,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10636,42,0.3320087718444418,0.9047619047619048,0.10003512691807462,run_1_to_2,1.7249096319014126,0.007020571240977574,,,,3.9570151653165127
M4,40,3,-12.787409344820475,31.57481868964095,32.241485356307614,36.641457051982755,0.43058957074358556,0.5387916988102578,True,100,100,99,alpha;theta,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10636,42,0.3837610996091402,0.9047619047619048,0.11681128542623294,run_1_to_2,0.45862499889597635,0.0,5.0,,,
M0,42,0,-29.112181583517703,58.224363167035406,58.224363167035406,58.224363167035406,0.0,0.0,True,1,1,1,,exact,sub-10638,41,0.6931471805599453,0.975609756097561,0.25,run_1_to_2,,,,,,
M1,42,1,-29.11241658434269,60.22483316868538,60.32483316868538,61.96250278696875,-0.034357954176518476,-8.072250590851482e-06,True,100,100,100,kappa,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10638,41,0.6931526683846404,0.024390243902439025,0.25000274391234745,run_1_to_2,1e-05,,,,,
M2,42,2,-29.11241658434269,62.22483316868538,62.532525476377685,65.70017240525212,-0.06870783610244617,-8.072250590851482e-06,True,100,100,100,alpha;kappa,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10638,41,0.6931526683846404,0.024390243902439025,0.25000274391234745,run_1_to_2,1e-05,0.0,,,,
M5,42,3,-24.98415215058057,55.96830430116114,56.59988324852956,61.18131315601124,0.0387476778303617,0.1417973236081448,True,100,100,100,alpha;theta,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10638,41,0.5880168383160507,0.36585365853658536,0.21085429874765838,run_1_to_2,0.17834403272514274,0.0,5.0,,,
M6,42,3,-14.575186646989525,35.15037329397905,35.78195224134747,40.36338214882916,0.39629441384976866,0.4993440596275518,True,100,100,99,alpha;theta,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10638,41,0.4178159941809923,0.6585365853658537,0.14374482803067234,run_1_to_2,0.3627528438837486,0.0,5.0,,,
M7,42,4,-14.575186646989527,37.15037329397906,38.23145437506014,44.10105176711253,0.3619445319238408,0.4993440596275517,True,100,100,100,alpha;theta;theta_stranger,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10638,41,0.41781599418091303,0.6585365853658537,0.14374482803064406,run_1_to_2,0.36275284388338347,0.0,5.0,5.0,,
M8,42,3,-15.682996251728325,37.36599250345665,37.99757145082507,42.579001358306755,0.3582412847305822,0.46129093050836534,True,100,100,100,alpha;alpha_negative,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10638,41,0.19294385978177409,0.975609756097561,0.044668359100605334,run_1_to_2,0.9895379094721674,1.0,,,0.0,
M3,42,3,-1.8353597023446921,9.670719404689384,10.302298352057806,14.88372825953949,0.8339059651550709,0.9369556109328541,True,100,100,5,,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,sub-10638,41,1.0441214284061489,0.7560975609756098,0.19561704617216422,run_1_to_2,13.281393475007906,0.03882744891217561,,,,1.6222961273755607
M4,42,3,-2.5240094906137607,11.048018981227521,11.679597928595943,16.261027836077627,0.8102509262397133,0.9133005720174964,True,100,100,100,kappa,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10638,41,0.5689076713339769,0.975609756097561,0.026708544700963642,run_1_to_2,20.0,0.0016553404420432453,1.1676916108623199,,,
M0,42,0,-29.112181583517703,58.224363167035406,58.224363167035406,58.224363167035406,0.0,0.0,True,1,1,1,,exact,sub-10640,41,0.6931471805599453,0.34146341463414637,0.25,run_1_to_2,,,,,,
M1,42,1,-27.809863780909513,57.619727561819026,57.71972756181903,59.357397180102396,0.010384580823697247,0.04473446274962489,True,100,100,100,,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10640,41,0.6090475768652841,0.6585365853658537,0.2093779509882651,run_1_to_2,0.40772948878921134,,,,,
M2,42,2,-26.156767218640883,56.31353443728177,56.621226744974074,59.78887367384851,0.03281837062385396,0.10151813447570934,True,100,100,100,,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10640,41,0.5294763693818983,0.6829268292682927,0.17564642502451167,run_1_to_2,0.5063809202491779,0.2477431898455641,,,,
M5,42,3,-16.381125012664672,38.762250025329344,39.39382897269776,43.97525888017945,0.3342606442233245,0.43731029000110766,True,100,100,100,,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10640,41,0.7816233097636054,0.6097560975609756,0.24608130955204288,run_1_to_2,1.4681114759098162,0.18251057108460267,1.0369311358419706,,,
M6,42,3,-22.838309245031724,51.67661849006345,52.308197437431865,56.88962734491355,0.1124571282675542,0.21550677404533736,True,100,100,100,,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10640,41,0.6340915463480802,0.5853658536585366,0.2265267417554865,run_1_to_2,1.4966230747059164,0.13821331820815522,0.5170762059409935,,,
M7,42,4,-16.38112501266467,40.76225002532934,41.84333110641042,47.71292849846281,0.29991076229739694,0.43731029000110777,True,100,100,100,theta_stranger,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10640,41,0.7816233090140832,0.6097560975609756,0.24608130960949198,run_1_to_2,1.4681114736541006,0.18251057048985359,1.0369311351152257,0.0,,
M8,42,3,-26.06661721128234,58.13323442256468,58.7648133699331,63.346243277414786,0.001565130806313681,0.10461477658409679,True,100,100,96,,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10640,41,0.5545006214011905,0.7317073170731707,0.18489791405126477,run_1_to_2,0.686787005165931,0.22015085325141254,,,0.15459071261994747,
M3,42,3,-16.520184197261703,39.040368394523405,39.67194734189182,44.253377249373514,0.32948397765170073,0.43253362342948387,True,100,100,25,,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,sub-10640,41,0.7577009909262326,0.6585365853658537,0.23608258744856106,run_1_to_2,5.357848641707874,0.055396944805423974,,,,1.3231681384560146
M4,42,3,-16.640992378130253,39.281984756260506,39.913563703628924,44.494993611110615,0.3253342309031799,0.428383876680963,True,100,100,96,,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10640,41,0.768724170289053,0.6097560975609756,0.2549024369241843,run_1_to_2,13.121338130900963,0.01763939650058058,0.9096479591482334,,,
M0,27,0,-18.714973875118524,37.42994775023705,37.42994775023705,37.42994775023705,0.0,0.0,True,1,1,1,,exact,sub-10641,15,0.6931471805599453,0.6666666666666666,0.25,chronological_65_percent,,,,,,
M1,27,1,-18.714973875649772,39.429947751299544,39.58994775129954,40.72578461730387,-0.05343314969094045,-2.8386182293616002e-11,True,100,100,100,kappa,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10641,15,0.6931488472461953,0.3333333333333333,0.25000083334312495,chronological_65_percent,1e-05,,,,,
M2,27,2,-18.68601457567854,41.37202915135708,41.87202915135708,43.96370288336574,-0.10531891274400909,0.0015473865810993193,True,100,100,65,,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10641,15,0.6996736085037802,0.5333333333333333,0.25323908114148874,chronological_65_percent,0.051479334289290093,0.3563349977257876,,,,
M5,27,3,-7.804692489498618,21.609384978997234,22.6528632398668,25.49689557701022,0.4226712491507451,0.5829706981384076,True,100,100,100,theta,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10641,15,0.7145560964033978,0.4666666666666667,0.2430504206070581,chronological_65_percent,1.2210935109419723,0.13847430227757956,5.0,,,
M6,27,3,-18.36282530614716,42.72565061229432,43.76912887316388,46.613161210307304,-0.14148304179836133,0.01881640718930122,True,100,100,57,,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10641,15,0.7168656270581142,0.4666666666666667,0.2606384710793505,chronological_65_percent,0.3865337525114184,0.08418556250391585,0.724185913021248,,,
M7,27,4,-7.804692489498617,23.609384978997234,25.42756679717905,28.79273244301455,0.3692380994881909,0.5829706981384077,True,100,100,99,theta;theta_stranger,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10641,15,0.714556090125656,0.4666666666666667,0.24305041961424698,chronological_65_percent,1.221093481773061,0.13847430133017755,5.0,0.0,,
M8,27,3,-18.3502057127831,42.7004114255662,43.743889686435764,46.58792202357919,-0.14080873717745906,0.019490711810203565,True,100,100,36,alpha_negative,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10641,15,0.6523833098604579,0.6666666666666666,0.2292698599092822,chronological_65_percent,0.3851043098122767,0.21051379416691396,,,0.0,
M3,27,3,-7.806569425518331,21.613138851036663,22.65661711190623,25.50064944904965,0.42257095854749666,0.5828704075351592,True,100,100,26,,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10641,15,0.906005807958271,0.5333333333333333,0.2519537812844316,chronological_65_percent,4.121142216935117,0.00043247899554286974,,,,0.8274922153656538
M4,27,3,-7.768415856501855,21.53683171300371,22.580309973873277,25.424342311016698,0.4246096239109146,0.5849090728985772,True,100,100,88,,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10641,15,0.9166837074424777,0.6,0.26218869573693254,chronological_65_percent,16.522885147690722,0.0027803708403136883,0.6171587889350453,,,
M0,42,0,-29.112181583517703,58.224363167035406,58.224363167035406,58.224363167035406,0.0,0.0,True,1,1,1,,exact,sub-10642,42,0.6931471805599452,0.38095238095238093,0.25,run_1_to_2,,,,,,
M1,42,1,-28.184342944143342,58.368685888286684,58.468685888286686,60.106355506570054,-0.0024787342171049896,0.03187114770882271,True,100,100,100,,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10642,42,0.662923381793795,0.6190476190476191,0.235089996171352,run_1_to_2,0.34156090880396683,,,,,
M2,42,2,-27.555700778705507,59.111401557411014,59.41909386510332,62.586740793977754,-0.015234831986583545,0.0534649318652719,True,100,100,100,,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10642,42,0.7853133107706967,0.5476190476190477,0.28236462907718873,run_1_to_2,0.5206470390463458,0.1569392309600751,,,,
M5,42,3,-8.970031823173924,23.94006364634785,24.57164259371627,29.153072501197954,0.5888308202243786,0.6918804660021618,True,100,100,100,alpha;theta,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10642,42,0.16331829420460067,0.9523809523809523,0.04543273233864531,run_1_to_2,2.1106634665806987,0.0,5.0,,,
M6,42,3,-22.235746187268237,50.471492374536474,51.10307132190489,55.68450122938658,0.13315509815465593,0.23620474393243907,True,100,100,99,,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,sub-10642,42,0.7788059892516279,0.47619047619047616,0.28183592539305724,run_1_to_2,2.7568796737961243,0.04321579958309511,0.44631423690019784,,,
M7,42,4,-8.909227650599028,25.818455301198057,26.899536382279138,32.76913377433153,0.5565695544470023,0.6939690821507132,True,100,100,100,alpha;theta,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10642,42,0.15533687536811672,0.9523809523809523,0.04337745879289554,run_1_to_2,2.3850788851381304,0.0,5.0,0.10269250467554106,,
M8,42,3,-27.39447585510103,60.78895171020206,61.42053065757048,66.00196056505217,-0.044046656823180805,0.05900298895460232,True,100,100,73,,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10642,42,0.7291947051721303,0.5714285714285714,0.26209542582190404,run_1_to_2,0.21137049960091747,0.29397312776577195,,,0.7110126224537375,
M3,42,3,-15.34376343841521,36.68752687683042,37.319105824198836,41.90053573168053,0.369893891813288,0.4729435375910711,True,100,100,21,alpha,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10642,42,0.22419630045818267,0.9523809523809523,0.06069996568491159,run_1_to_2,1.4818797047928864,0.0,,,,0.8386284651756332
M4,42,3,-15.156638865285275,36.31327773057055,36.944856677938965,41.52628658542066,0.37632159880574095,0.479371244583524,True,100,100,98,,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10642,42,0.29151044517192953,0.9523809523809523,0.08665917891569548,run_1_to_2,5.829161314716758,0.0127000349785625,0.5967025570076457,,,
M0,41,0,-28.419034402957756,56.83806880591551,56.83806880591551,56.83806880591551,0.0,0.0,True,1,1,1,,exact,sub-10644,41,0.6931471805599453,0.4146341463414634,0.25,run_1_to_2,,,,,,
M1,41,1,-28.1883007453646,58.3766014907292,58.4791655932933,60.09017355743351,-0.02706870091007672,0.008118983014044345,True,100,100,100,,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10644,41,0.6820656821164067,0.5853658536585366,0.24447696514065043,run_1_to_2,0.1683153481659687,,,,,
M2,41,2,-27.41756930614483,58.83513861228966,59.150928085973874,62.26228274569828,-0.03513613056054961,0.035239237287692515,True,100,100,98,,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10644,41,0.6563337924094026,0.5853658536585366,0.23271585424453686,run_1_to_2,0.14214429671385728,0.9308156712968014,,,,
M5,41,3,-12.538294693226018,31.076589386452035,31.725238035100684,36.21730558656496,0.4532433976149153,0.5588064493872784,True,100,100,100,theta,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10644,41,0.2341816132250253,0.926829268292683,0.06949218865941462,run_1_to_2,1.3268121082317659,0.09521421415415116,5.0,,,
M6,41,3,-22.662383279436156,51.32476655887231,51.97341520752096,56.46548275898523,0.09700016842355126,0.20256322019591444,True,100,100,100,,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10644,41,0.7034335247680722,0.5609756097560976,0.25578851477105174,run_1_to_2,1.7323552909792268,0.11665237684413303,0.6029108942811601,,,
M7,41,4,-12.512472988491298,33.02494597698259,34.13605708809371,39.87923424379983,0.41896431967538156,0.5597150553718657,True,100,100,100,theta,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10644,41,0.23513732235797852,0.926829268292683,0.06983917476862438,run_1_to_2,1.4383412851638673,0.10049367234980255,5.0,0.08187959254650536,,
M8,41,3,-25.489270335797908,56.978540671595816,57.62718932024446,62.11925687170874,-0.0024714398048950653,0.10309161196746808,True,100,100,71,alpha_negative,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10644,41,0.8512330775630755,0.4146341463414634,0.3151998273303669,run_1_to_2,1.0259455004050853,0.15732540152820684,,,0.0,
M3,41,3,-12.67263080671368,31.34526161342736,31.99391026207601,36.48597781354029,0.4485164209139165,0.5540794726862797,True,100,100,25,,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,sub-10644,41,0.23224250540803149,0.926829268292683,0.0692022638648999,run_1_to_2,8.228892337838843,0.0060800454136212545,,,,1.2858408689350784
M4,41,3,-12.5734806417509,31.1469612835018,31.795609932150448,36.28767748361472,0.4520052855796513,0.5575683373520145,True,100,100,96,kappa,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10644,41,0.23949333705990405,0.926829268292683,0.07100540507821562,run_1_to_2,20.0,0.0036657522389384116,0.9343246857942066,,,
M0,41,0,-28.419034402957756,56.83806880591551,56.83806880591551,56.83806880591551,0.0,0.0,True,1,1,1,,exact,sub-10647,42,0.6931471805599452,0.09523809523809523,0.25,run_1_to_2,,,,,,
M1,41,1,-15.841717049906665,33.683434099813326,33.78599820237743,35.397006166517635,0.40737898370840375,0.4425666676325247,True,100,100,100,,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10647,42,0.2730188262702016,0.9047619047619048,0.07844792714875257,run_1_to_2,1.7616016904012217,,,,,
M2,41,2,-15.619483230430117,35.23896646086023,35.554755934544445,38.66611059426885,0.3800111931812736,0.4503865610295157,True,100,100,100,,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10647,42,0.32339204993679815,0.9047619047619048,0.09266722708520543,run_1_to_2,1.4833815974855933,0.05278704224931367,,,,
M5,41,3,-12.732156475304185,31.46431295060837,32.11296159925702,36.60502915072129,0.44642185050218186,0.5519849022745451,True,100,100,100,,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10647,42,0.29209851194467745,0.8571428571428571,0.09279727827580324,run_1_to_2,2.9900571357516097,0.02820491093348911,0.45834964615677914,,,
M6,41,3,-14.916871350691991,35.83374270138398,36.48239135003263,40.9744589014969,0.36954679400271023,0.4751098457750734,True,100,100,97,,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10647,42,0.25015919156463523,0.9047619047619048,0.07189741345241961,run_1_to_2,3.294000079481219,0.00156583446245358,0.2880177043222268,,,
M7,41,4,-12.732156475304187,33.464312950608374,34.57542406171949,40.31860121742561,0.4112341665780607,0.551984902274545,True,100,100,100,theta_stranger,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10647,42,0.2920985093364415,0.8571428571428571,0.09279727716591699,run_1_to_2,2.990057151608046,0.02820491003597541,0.4583496445031972,0.0,,
M8,41,3,-15.479726218615781,36.95945243723156,37.60810108588021,42.10016863734448,0.349741234815055,0.45530428658741817,True,100,100,38,,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10647,42,0.5552750134841461,0.7380952380952381,0.18774459069037738,run_1_to_2,2.0014483363381017,0.0803294294142743,,,0.03278544700181957,
M3,41,3,-13.194874337736836,32.38974867547367,33.038397324122315,37.530464875586595,0.43013988061285685,0.53570293238522,True,100,100,60,,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10647,42,0.23404999001535215,0.9047619047619048,0.0696883839121251,run_1_to_2,1.0122959219109025,0.00037572053534652575,,,,0.7716335794099425
M4,41,3,-13.02237545270941,32.04475090541882,32.69339955406747,37.18546710553174,0.43620971685646515,0.5417727686288284,True,100,100,99,,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,sub-10647,42,0.25823852424643756,0.9047619047619048,0.07898029165357746,run_1_to_2,3.8631514175389294,0.016099521129631374,0.6375888996412435,,,
M0,38,0,-26.33959286127792,52.67918572255584,52.67918572255584,52.67918572255584,0.0,0.0,True,1,1,1,,exact,sub-10649,39,0.693147180559945,0.9743589743589743,0.25,run_1_to_2,,,,,,
M1,38,1,-26.33980036203104,54.67960072406208,54.79071183517319,56.317186883788466,-0.0379735368735912,-7.87790282896772e-06,True,100,100,100,kappa,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10649,39,0.6931526292981663,0.02564102564102564,0.25000272436911053,run_1_to_2,1e-05,,,,,
M2,38,2,-26.33980036203104,56.67960072406208,57.02245786691922,59.95477304351485,-0.0759391958443534,-7.87790282896772e-06,True,100,100,100,alpha;kappa,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10649,39,0.6931526292981663,0.02564102564102564,0.25000272436911053,run_1_to_2,1e-05,0.0,,,,
M5,38,3,-22.443927272345032,50.887854544690065,51.59373689763124,55.80061302386922,0.034004534301272954,0.14790151121355954,True,100,100,100,alpha;theta,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10649,39,0.6675120633720245,0.28205128205128205,0.24119473540886555,run_1_to_2,0.18613760400452312,0.0,5.0,,,
M6,38,3,-11.661646517363977,29.323293034727953,30.02917538766913,34.236051513907114,0.44336092837189606,0.5572579052841826,True,100,100,100,alpha;theta,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10649,39,0.4858317468319198,0.6410256410256411,0.15329373758653114,run_1_to_2,0.40458880950294923,0.0,5.0,,,
M7,38,4,-11.661646517363975,31.32329303472795,32.535414246849164,37.873637673633496,0.4053952694011339,0.5572579052841826,True,100,100,100,alpha;theta;theta_stranger,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10649,39,0.4858317452625326,0.6410256410256411,0.1532937372719208,run_1_to_2,0.40458880580963247,0.0,5.0,5.0,,
M8,38,3,-16.008060907989478,38.016121815978956,38.72200416892013,42.92888029515811,0.2783464418717951,0.39224341878408164,True,100,100,100,alpha;alpha_negative,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10649,39,0.23226469705291938,0.9743589743589743,0.05317926785665398,run_1_to_2,0.8629982454442855,1.0,,,0.0,
M3,38,3,-5.612906184838348,17.225812369676696,17.931694722617873,22.138570848855853,0.6730053410392588,0.7869023179515453,True,100,100,100,alpha,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10649,39,0.18998779009051506,0.9743589743589743,0.02988692121046337,run_1_to_2,1.9097921620204525,0.0,,,,1.7454024276272744
M4,38,3,-3.6780813238220627,13.356162647644126,14.062045000585302,18.268921126823283,0.7464622418807554,0.860359218793042,True,100,100,11,alpha;kappa,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10649,39,0.3447405216628675,0.9743589743589743,0.03332660573353435,run_1_to_2,20.0,0.0,0.6933080600896125,,,
M0,42,0,-29.112181583517703,58.224363167035406,58.224363167035406,58.224363167035406,0.0,0.0,True,1,1,1,,exact,sub-10652,42,0.6931471805599452,0.6428571428571429,0.25,run_1_to_2,,,,,,
M1,42,1,-29.112271584342697,60.22454316868539,60.324543168685395,61.96221278696876,-0.03435297344363947,-3.091517711828473e-06,True,100,100,100,kappa,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10652,42,0.6931486091510168,0.35714285714285715,0.25000071429553566,run_1_to_2,1e-05,,,,,
M2,42,2,-29.017908652609776,62.03581730521955,62.34350961291186,65.51115654178629,-0.06546149980635697,0.003238264045498429,True,100,100,48,alpha,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10652,42,0.6944803793914319,0.5714285714285714,0.2506379223116406,run_1_to_2,0.035975713083449094,1.0,,,,
M5,42,3,-22.972620542067563,51.94524108413513,52.576820031503544,57.158249938985236,0.1078435510730549,0.21089319685083796,True,100,100,100,theta,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10652,42,0.7780275329987256,0.5952380952380952,0.2464905095964068,run_1_to_2,0.3391578941139277,0.32215236101940936,5.0,,,
M6,42,3,-27.284845890010757,60.569691780021515,61.20127072738993,65.78270063487162,-0.0402808804667863,0.06276876531099684,True,100,100,70,theta,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10652,42,0.6662922762134821,0.5952380952380952,0.23652964763690523,run_1_to_2,0.07102237288638244,0.0387495164803027,5.0,,,
M7,42,4,-22.97262054206756,53.94524108413512,55.0263221652162,60.89591955726859,0.07349366914712732,0.21089319685083807,True,100,100,100,theta;theta_stranger,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10652,42,0.7780275336679876,0.5952380952380952,0.2464905096562921,run_1_to_2,0.3391578949616158,0.3221523611655691,5.0,0.0,,
M8,42,3,-25.468989203100033,56.93797840620007,57.569557353568484,62.150987261050176,0.02209358232300333,0.12514322810078637,True,100,100,100,alpha,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10652,42,0.6889519857834823,0.6428571428571429,0.2455661662391251,run_1_to_2,0.4404839837590956,1.0,,,0.09501925712527735,
M3,42,3,-22.593802836218806,51.18760567243761,51.81918461980603,56.400614527287715,0.12085589454041051,0.22390554031819365,True,100,100,7,,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10652,42,0.6774347729680978,0.6666666666666666,0.23620449210824054,run_1_to_2,2.251720778310279,0.04603447480797383,,,,1.449987719633512
M4,42,3,-23.207907301512126,52.41581460302425,53.04739355039267,57.62882345787436,0.09976147866740002,0.20281112444518312,True,100,100,70,,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10652,42,0.7389058977903943,0.6428571428571429,0.24765534424105864,run_1_to_2,2.075847060018503,0.026355401686108847,1.0621464411145074,,,
M0,42,0,-29.112181583517703,58.224363167035406,58.224363167035406,58.224363167035406,0.0,0.0,True,1,1,1,,exact,sub-10656,42,0.6931471805599452,0.21428571428571427,0.25,run_1_to_2,,,,,,
M1,42,1,-23.12215546538238,48.24431093076476,48.34431093076476,49.98198054904813,0.17140680796524366,0.20575668989117135,True,100,100,100,,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10656,42,0.4581564715879805,0.7857142857142857,0.1467637255644906,run_1_to_2,0.9698959146718048,,,,,
M2,42,2,-22.679541045633496,49.35908209126699,49.6667743989593,52.83442132783373,0.15226067909640317,0.22096044294825856,True,100,100,100,,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10656,42,0.44143249341981744,0.7857142857142857,0.13969345627508786,run_1_to_2,0.9241476039436604,0.07802385895852419,,,,
