parameter,Mean,MCSE,StdDev,MAD,5%,50%,95%,ESS_bulk,ESS_tail,ESS_bulk/s,R_hat,run,n_subjects,divergences,metric,chains,warmup_per_chain,draws_per_chain,adapt_delta,max_depth_hits,min_bfmi,passed
"natural[8,4]",2.67233,0.0263637,2.28156,2.01517,0.126884,2.08295,7.25688,9923.48,5483.32,7.22081,1.00068,H7_full_age_attempt95_short,111,0,diag_e,4,2000,2000,0.95,0,0.6812728750913485,True
"natural[9,1]",0.146778,0.00163069,0.124143,0.0990859,0.0165423,0.110598,0.39781,5404.08,4892.93,3.93227,1.00153,H7_full_age_attempt95_short,111,0,diag_e,4,2000,2000,0.95,0,0.6812728750913485,True
"natural[9,2]",0.0712263,0.000474833,0.045839,0.0372864,0.0196616,0.0606983,0.158832,8301.11,6350.3,6.0403,1.00066,H7_full_age_attempt95_short,111,0,diag_e,4,2000,2000,0.95,0,0.6812728750913485,True
"natural[9,3]",6.09903,0.0350539,2.87415,2.82933,2.06296,5.7215,11.3451,7868.6,4480.88,5.72558,1.00022,H7_full_age_attempt95_short,111,0,diag_e,4,2000,2000,0.95,0,0.6812728750913485,True
"natural[9,4]",2.80526,0.0321399,2.62777,2.34851,0.0529448,2.07465,7.89828,9474.31,5995.01,6.89398,1.00012,H7_full_age_attempt95_short,111,0,diag_e,4,2000,2000,0.95,0,0.6812728750913485,True
"natural[10,1]",0.399662,0.00339229,0.194102,0.213268,0.0771223,0.404812,0.716334,3369.99,3318.15,2.45217,1.00075,H7_full_age_attempt95_short,111,0,diag_e,4,2000,2000,0.95,0,0.6812728750913485,True
"natural[10,2]",0.288782,0.00302571,0.205559,0.195435,0.0448787,0.243923,0.695908,3872.4,4965.75,2.81775,1.00156,H7_full_age_attempt95_short,111,0,diag_e,4,2000,2000,0.95,0,0.6812728750913485,True
"natural[10,3]",3.49668,0.0338366,2.37097,1.97327,0.773336,2.91067,8.04085,6328.48,4781.02,4.60491,1.001,H7_full_age_attempt95_short,111,0,diag_e,4,2000,2000,0.95,0,0.6812728750913485,True
"natural[10,4]",1.05228,0.0249795,1.66967,0.512481,0.00410731,0.365671,4.52584,5872.15,4625.69,4.27287,1.00093,H7_full_age_attempt95_short,111,0,diag_e,4,2000,2000,0.95,0,0.6812728750913485,True
"natural[11,1]",0.0520674,0.000378103,0.026604,0.0275099,0.0120453,0.049755,0.0991863,4409.21,4255.36,3.20836,1.00011,H7_full_age_attempt95_short,111,0,diag_e,4,2000,2000,0.95,0,0.6812728750913485,True
"natural[11,2]",2.34778,0.00688409,0.59182,0.543284,1.53948,2.27623,3.40263,7117.56,6034.95,5.17909,1.00027,H7_full_age_attempt95_short,111,0,diag_e,4,2000,2000,0.95,0,0.6812728750913485,True
"natural[11,3]",0.235975,0.00207509,0.14763,0.179326,0.0130691,0.233002,0.478233,5005.14,4928.15,3.64199,0.999909,H7_full_age_attempt95_short,111,0,diag_e,4,2000,2000,0.95,0,0.6812728750913485,True
