model,n,k,log_likelihood,AIC,AICc,BIC,pseudo_r2_fareri,pseudo_r2_mcfadden,converged,n_starts,n_converged,n_near_best,boundary_parameters,optimizer_message,participant_id,kappa,alpha,theta,theta_stranger,alpha_negative,phi
M6,84,3,-54.665379794226894,115.33075958845379,115.63075958845378,122.62320998498373,0.009600506427264614,0.06112532931615622,True,100,100,100,,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,sub-10802,0.5230075945472734,0.08809312807693741,0.7290022796487963,,,
M7,84,4,-53.25891112816377,114.51782225632753,115.02415137025159,124.24108945170079,0.016581581770193483,0.08528134562204892,True,100,100,99,,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10802,0.5144804410959011,0.06182202828213958,1.1339800976530676,0.3184956010792605,,
M8,84,3,-56.049359108421996,118.09871821684399,118.39871821684399,125.39116861337394,-0.01416925658799946,0.037355566300892096,True,100,100,91,,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,sub-10802,0.6112223874987657,0.17372715715272877,,,0.07149938271267707,
M3,84,3,-54.32710458138638,114.65420916277276,114.95420916277276,121.9466595593027,0.01541036323703448,0.06693518612592608,True,100,100,31,,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10802,0.6660286215933531,0.03170087074110964,,,,1.031340327768877
M4,84,3,-53.22066002545295,112.4413200509059,112.7413200509059,119.73377044743584,0.03441348316398388,0.08593830605287545,True,100,100,100,,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,sub-10802,1.7503779324776627,0.027428303303016096,0.7515448941304725,,,
M0,42,0,-29.112181583517703,58.224363167035406,58.224363167035406,58.224363167035406,0.0,0.0,True,1,1,1,,exact,sub-10803,,,,,,
M1,42,1,-29.112191584342696,60.22438316868539,60.324383168685394,61.96205278696876,-0.03435022545308537,-3.435271576091026e-07,True,100,100,100,kappa,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10803,1e-05,,,,,
M2,42,2,-29.112186479419112,62.224372958838224,62.53206526653053,65.69971219540496,-0.06869993202549071,-1.6817363523990991e-07,True,100,100,100,kappa,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10803,1e-05,0.8246702083001991,,,,
M5,42,3,-29.09768572581697,64.19537145163395,64.82695039900237,69.40838030648405,-0.10255171477734797,0.0004979310004352699,True,100,100,30,theta,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,sub-10803,0.007075988148123175,0.9209492202049168,5.0,,,
M6,42,3,-28.80238185062805,63.6047637012561,64.23634264862451,68.8177725561062,-0.09240806153233952,0.010641584245443592,True,100,100,64,,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10803,0.19696096265935698,0.027328729401187808,1.0278984823316337,,,
M7,42,4,-28.08363668647371,64.16727337294742,65.2483544540285,71.1179518460809,-0.10206913193473417,0.035330395768976675,True,100,100,80,alpha;theta,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10803,0.18311862818486627,0.0,0.0,2.094588848238721,,
M8,42,3,-29.048775723268214,64.09755144653643,64.72913039390485,69.31056030138653,-0.10087166196480128,0.002177983812981843,True,100,100,72,alpha,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10803,0.05182842665667253,1.0,,,0.16105863154485772,
M0,81,0,-56.144921625355565,112.28984325071113,112.28984325071113,112.28984325071113,0.0,0.0,True,1,1,1,,exact,sub-10804,,,,,,
M1,81,1,-56.145176626961806,114.29035325392361,114.34098616531601,116.68480240859606,-0.017815591733848234,-4.541846330141652e-06,True,100,100,100,kappa,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10804,1e-05,,,,,
M2,81,2,-56.14509492235131,116.29018984470262,116.44403599854878,121.0790881540475,-0.03562518637647275,-3.0866014366637273e-06,True,100,100,100,kappa,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10804,1e-05,0.33645174612841683,,,,
M5,81,3,-48.29805700101616,102.59611400203232,102.90780231372064,109.77946146604964,0.08632774762215563,0.13976089728470986,True,100,100,96,theta,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10804,0.1864558509100109,0.18077209259979152,5.0,,,
M6,81,3,-43.30079702039382,92.60159404078765,92.91328235247596,99.78494150480496,0.17533419443791767,0.22876734410047184,True,100,100,86,theta,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,sub-10804,0.16356192188809238,0.16832210513590914,5.0,,,
M7,81,4,-42.24638575200958,92.49277150401916,93.01908729349284,102.07056812270892,0.17630331625355256,0.24754751580362488,True,100,100,98,theta,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10804,0.2439902591234913,0.16934666174340368,5.0,2.703937103422041,,
M8,81,3,-44.33585801307074,94.67171602614148,94.9834043378298,101.8550634901588,0.15689867146072511,0.2103318211232793,True,100,100,1,alpha_negative,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,sub-10804,0.5225201291933136,0.9213215119029553,,,1.50699127545576e-16,
M3,81,3,-45.191014036225496,96.38202807245099,96.69371638413931,103.56537553646831,0.1416674448707042,0.19510059453325845,True,100,100,85,phi,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10804,0.5120859952431359,0.005067891721272409,,,,5.0
M4,81,3,-46.30651834747557,98.61303669495113,98.92472500663945,105.79638415896845,0.12179914193328772,0.17523229159584197,True,100,100,82,theta,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10804,0.34468830298535025,0.1444279704615462,5.0,,,
M0,82,0,-56.83806880591551,113.67613761183102,113.67613761183102,113.67613761183102,0.0,0.0,True,1,1,1,,exact,sub-10806,,,,,,
M1,82,1,-56.04354428684996,114.08708857369992,114.13708857369991,116.49380782096416,-0.0036151031386390227,0.013978738823421488,True,100,100,100,,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10806,0.22822057609420693,,,,,
M2,82,2,-54.295949645328456,112.59189929065691,112.74379802483412,117.40533778518542,0.00953795883597358,0.04472564276009461,True,100,100,93,alpha,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10806,0.13793059995235157,1.0,,,,
M5,82,3,-42.058060899090506,90.11612179818101,90.42381410587332,97.33627953997377,0.2072555974245026,0.2600371233106842,True,100,100,100,,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10806,0.9765480326196189,0.08806680165016573,1.240458566799682,,,
M6,82,3,-38.73891643265618,83.47783286531237,83.78552517300467,90.69799060710513,0.2656521006161958,0.3184336265023774,True,100,100,72,alpha,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,sub-10806,4.445482265545827,0.0,0.549649117762757,,,
M7,82,4,-34.054117259152214,76.10823451830443,76.62771503778495,85.73511150736144,0.3304818749367559,0.400857242784998,True,100,100,98,,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,sub-10806,4.426869213533802,0.0016257589590150292,0.6698737287463105,0.48147963406832306,,
M8,82,3,-54.24659114162413,114.49318228324826,114.80087459094057,121.71334002504102,-0.007187477412429259,0.04559404847375237,True,100,100,70,alpha_negative,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10806,0.14694195418622413,0.8270805596936252,,,1.0,
M3,82,3,-30.892007708292528,67.78401541658505,68.09170772427736,75.00417315837782,0.40370937260336404,0.4564908984895456,True,100,100,30,,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10806,1.7459116796372007,0.03578330714253116,,,,1.4370683063793572
M4,82,3,-34.29415913728306,74.58831827456612,74.89601058225843,81.80847601635888,0.34385245803070613,0.39663398391688776,True,100,100,91,,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10806,3.5467309129213698,0.006039029784121152,0.9158265997262686,,,
M0,81,0,-56.144921625355565,112.28984325071113,112.28984325071113,112.28984325071113,0.0,0.0,True,1,1,1,,exact,sub-10807,,,,,,
M1,81,1,-56.14530412693995,114.2906082538799,114.3412411652723,116.68505740855234,-0.01781786264231957,-6.8127548014107475e-06,True,100,100,100,kappa,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10807,1e-05,,,,,
M2,81,2,-56.14524414133989,116.29048828267977,116.44433443652593,121.07938659202465,-0.03562784412332243,-5.744348286373935e-06,True,100,100,100,alpha;kappa,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10807,1e-05,1.0,,,,
M5,81,3,-46.16177485241425,98.3235497048285,98.63523801651681,105.50689716884581,0.12437717554471862,0.1778103252072728,True,100,100,88,alpha;theta,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10807,0.21247945475116414,0.0,5.0,,,
M6,81,3,-33.64989123663747,73.29978247327495,73.61147078496326,80.48312993729226,0.3472269588121387,0.4006601084746929,True,100,100,79,theta,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10807,0.3008687786381658,0.2640319599092953,5.0,,,
M7,81,4,-33.50777177074059,75.01554354148118,75.54185933095486,84.59334016017094,0.33194720582169746,0.4031914053717697,True,100,100,74,theta,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10807,0.3379934264141806,0.24627244267254506,5.0,4.046809326251363,,
M8,81,3,-27.362603409577314,60.72520681915463,61.03689513084294,67.90855428317195,0.45921015595709225,0.5126433056196464,True,100,100,26,alpha_negative,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10807,1.2794005150927676,0.525539993720694,,,0.0,
M3,81,3,-22.767071927251827,51.534143854503654,51.84583216619197,58.71749131852097,0.5410613964484514,0.5944945461110056,True,100,100,9,alpha,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10807,16.988078763052837,0.0,,,,1.3630181815992677
M4,81,3,-17.6367140683492,41.2734281366984,41.585116448386714,48.456775600715716,0.6324384562141865,0.6858716058767407,True,100,100,100,,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10807,1.7124739487077991,0.13204193600846678,2.7911184328586995,,,
M0,83,0,-57.53121598647546,115.06243197295092,115.06243197295092,115.06243197295092,0.0,0.0,True,1,1,1,,exact,sub-10809,,,,,,
M1,83,1,-49.74253262911128,101.48506525822256,101.53444797427194,103.90390586601916,0.11799999775704505,0.13538186571956268,True,100,100,100,,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10809,0.7486523009090397,,,,,
M2,83,2,-44.331983909877614,92.66396781975523,92.81396781975523,97.50164903534842,0.19466357323701589,0.22942730916205112,True,100,100,100,,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10809,0.8973435771621332,0.18667928519382904,,,,
M5,83,3,-39.86424917092311,85.72849834184622,86.03229581020065,92.98502016523601,0.25493928059855864,0.3070848844861115,True,100,100,100,,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10809,1.5546293147152181,0.06649137048477981,0.4376197434867507,,,
M6,83,3,-40.10586197332565,86.2117239466513,86.51552141500574,93.4682457700411,0.25073959876914376,0.3028852026566967,True,100,100,95,,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10809,2.0440842268150363,0.07172752733676094,0.3758452046629849,,,
M7,83,4,-39.43928285827634,86.87856571655269,87.3913862293732,96.55392814773907,0.24494412097098509,0.31447159282105563,True,100,100,92,,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10809,1.89347582679738,0.0625204905365111,0.43207741362781016,0.21877204687681456,,
M8,83,3,-43.91987945331817,93.83975890663633,94.14355637499077,101.09628073002612,0.18444485052517964,0.23659045441273252,True,100,100,99,,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10809,0.6181375090408587,0.18385839261250828,,,0.2904463504314734,
M3,83,3,-40.12616292968071,86.25232585936142,86.55612332771585,93.50884768275121,0.25038673022626734,0.3025323341138202,True,100,100,38,,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10809,1.4821121508670654,0.06837415526962248,,,,0.8054560190748131
M4,83,3,-39.61097427107923,85.22194854215846,85.52574601051289,92.47847036554825,0.25934167146586484,0.3114872753534177,True,100,100,96,,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10809,3.652616537131637,0.031082899847634002,0.44935641358614914,,,
M0,84,0,-58.224363167035406,116.44872633407081,116.44872633407081,116.44872633407081,0.0,0.0,True,1,1,1,,exact,sub-10810,,,,,,
M1,84,1,-58.2247581686854,118.4495163373708,118.49829682517567,120.8803331362141,-0.017181725092982724,-6.784130018866463e-06,True,100,100,100,kappa,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10810,1e-05,,,,,
M2,84,2,-58.22465513460071,120.44931026920142,120.59745841734957,125.31094386688804,-0.034354896451624886,-5.014525697122352e-06,True,100,100,100,kappa,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10810,1e-05,0.707133397953111,,,,
M5,84,3,-48.53124948161869,103.06249896323737,103.36249896323737,110.35494935976732,0.11495383240543755,0.16647865529432915,True,100,100,100,alpha;theta,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,sub-10810,0.20596419613690464,0.0,5.0,,,
M6,84,3,-36.795153726713984,79.59030745342797,79.89030745342797,86.88275784995791,0.3165205841316165,0.36804540702050803,True,100,100,100,theta,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10810,0.24291082476823064,0.10791419303798261,5.0,,,
M7,84,4,-36.40715528412665,80.8143105682533,81.32063968217736,90.53757776362656,0.30600949351381196,0.3747092573656674,True,100,100,100,theta,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10810,0.30198926737520637,0.07216332964673694,5.0,3.456540560044137,,
M8,84,3,-33.68275140867322,73.36550281734644,73.66550281734644,80.65795321387638,0.36997591019695847,0.42150073308585,True,100,100,26,alpha,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10810,0.8840441511055754,1.0,,,0.016543257458944614,
M3,84,3,-27.55572822806991,61.11145645613982,61.41145645613982,68.40390685266976,0.4752071716025313,0.5267319944914228,True,100,100,12,,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,sub-10810,1.4288152621813033,0.005094208916437255,,,,1.686940226356961
M4,84,3,-24.727430565121875,55.45486113024375,55.75486113024375,62.747311526773686,0.5237830169893524,0.575307839878244,True,100,100,100,,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10810,0.6726742225439044,0.16803086336330772,3.330866040990021,,,
M0,84,0,-58.224363167035406,116.44872633407081,116.44872633407081,116.44872633407081,0.0,0.0,True,1,1,1,,exact,sub-10812,,,,,,
M1,84,1,-58.22452316868539,118.44904633737077,118.49782682517565,120.87986313621408,-0.017177688981856246,-2.7480188924400295e-06,True,100,100,100,kappa,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10812,1e-05,,,,,
M2,84,2,-58.2244341236008,120.4488682472016,120.59701639534975,125.31050184488822,-0.03435110060074929,-1.2186748215015086e-06,True,100,100,100,kappa,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10812,1e-05,0.3657875068725679,,,,
M5,84,3,-46.62025288881364,99.24050577762728,99.54050577762727,106.53295617415722,0.14777508606728934,0.19929990895618088,True,100,100,97,theta,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10812,0.23989638059625126,0.1696920981937448,5.0,,,
M6,84,3,-48.58032194024706,103.16064388049412,103.46064388049412,110.45309427702406,0.11411101582558775,0.1656358387144793,True,100,100,97,,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10812,0.4804102364291352,0.11820127946316802,1.610269433626385,,,
M7,84,4,-44.757541809431174,97.51508361886235,98.0214127327864,107.2383508142356,0.16259209792377796,0.23129186177563332,True,100,100,98,,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10812,0.35432510702701386,0.13894093297738108,3.9387316947110307,1.0800439282645202,,
M8,84,3,-53.697536942020825,113.39507388404165,113.69507388404165,120.6875242805716,0.026223150275330388,0.07774797316422188,True,100,100,99,,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10812,0.5279994080397112,0.5023798145173768,,,0.09715188576365351,
M3,84,3,-47.439849049011,100.879698098022,101.179698098022,108.17214849455195,0.13369857040242775,0.18522339329131932,True,100,100,37,,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,sub-10812,1.3023934217103903,0.03838358929055118,,,,2.3900586026445203
M4,84,3,-49.52982075422971,105.05964150845942,105.35964150845942,112.35209190498936,0.09780342975103154,0.1493282526399231,True,100,100,90,,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10812,1.2387482929130809,0.08193873763203928,1.4957079959025776,,,
M0,84,0,-58.224363167035406,116.44872633407081,116.44872633407081,116.44872633407081,0.0,0.0,True,1,1,1,,exact,sub-10817,,,,,,
M1,84,1,-58.22440316868537,118.44880633737074,118.49758682517562,120.87962313621405,-0.017175627988940404,-6.87025976553457e-07,True,100,100,100,kappa,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10817,1e-05,,,,,
M2,84,2,-56.624353356745644,117.24870671349129,117.39685486163944,122.11034031117791,-0.006869807894038041,0.02748007403188968,True,100,100,46,alpha,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,sub-10817,0.106258044799421,1.0,,,,
M5,84,3,-44.3400615457256,94.6801230914512,94.98012309145119,101.97257348798114,0.1869372377690877,0.23846206065797926,True,100,100,100,alpha,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10817,0.47611946675080946,0.0,3.004185868818718,,,
M6,84,3,-53.06303454745728,112.12606909491456,112.42606909491455,119.4185194914445,0.03712069144281851,0.08864551433171008,True,100,100,52,alpha,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,sub-10817,0.7001523046319275,0.0,0.8778964670687466,,,
M7,84,4,-43.919605627463156,95.83921125492631,96.34554036885037,105.56247845029957,0.17698360237981,0.24568336623166542,True,100,100,100,alpha,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10817,0.7001523651025889,0.0,2.202903104207888,0.30205914940964024,,
M8,84,3,-56.62435335674566,119.24870671349132,119.54870671349131,126.54115711002126,-0.024044748857002134,0.027480074031889457,True,100,100,55,alpha;alpha_negative,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10817,0.10625804029828935,1.0,,,1.0,
M3,84,3,-44.34006154572561,94.68012309145122,94.98012309145122,101.97257348798117,0.18693723776908744,0.23846206065797904,True,100,100,5,alpha,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10817,1.1922916304279407,0.0,,,,1.2002228677632263
M4,84,3,-44.34006154572559,94.68012309145118,94.98012309145118,101.97257348798112,0.18693723776908783,0.23846206065797937,True,100,100,59,alpha,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10817,3.3368222441258393,0.0,0.8573135033716284,,,
M0,56,0,-38.816242111356935,77.63248422271387,77.63248422271387,77.63248422271387,0.0,0.0,True,1,1,1,,exact,sub-10827,,,,,,
M1,56,1,-38.81624211248819,79.63248422497638,79.70655829905046,81.65783591571153,-0.025762411473589635,-2.914379848562021e-11,True,100,100,100,kappa,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10827,1e-05,,,,,
M2,56,2,-38.81492127756668,81.62984255513337,81.856257649473,85.68054593660366,-0.051490795025337335,3.402786355422016e-05,True,100,100,25,alpha,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10827,0.0035222865970840774,1.0,,,,
M5,56,3,-33.908035288916516,73.81607057783303,74.2776090393715,79.89212565003848,0.049160009280808575,0.12644724361414594,True,100,100,89,alpha,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10827,0.5273314647865495,0.0,1.4334669748605378,,,
M6,56,3,-38.300964344772616,82.60192868954523,83.0634671510837,88.67798376175068,-0.06401243650241702,0.013274797830920337,True,100,100,42,alpha,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10827,0.3138386711279212,0.0,0.7352237305848515,,,
M7,56,4,-33.90803528891652,75.81607057783305,76.60038430332324,83.91747734077364,0.023397597836362617,0.12644724361414572,True,100,100,98,alpha;theta_stranger,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10827,0.5273314662423827,0.0,1.4334669803051572,0.0,,
M8,56,3,-38.81292830147231,83.62585660294462,84.08739506448309,89.70191167515007,-0.07720186259964099,8.537173369638218e-05,True,100,100,38,alpha;alpha_negative,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10827,0.004418563515571649,0.0,,,1.0,
M3,56,3,-33.819436491008474,73.63887298201695,74.10041144355542,79.7149280542224,0.05144252796599883,0.1287297622993362,True,100,100,39,,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,sub-10827,0.6013480499946682,0.03659586951222843,,,,0.9999999604587855
M4,56,3,-34.16199399606684,74.32398799213368,74.78552645367215,80.40004306433913,0.042617420577302396,0.11990465491063973,True,100,100,30,alpha,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10827,1.7642909982755,0.0,0.7124013952838035,,,
M0,84,0,-58.224363167035406,116.44872633407081,116.44872633407081,116.44872633407081,0.0,0.0,True,1,1,1,,exact,sub-10831,,,,,,
M1,84,1,-58.224518168685385,118.44903633737077,118.49781682517565,120.87985313621408,-0.017177603107151405,-2.6621441875374074e-06,True,100,100,100,kappa,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10831,1e-05,,,,,
M2,84,2,-58.22448357322284,120.44896714644568,120.59711529459383,125.3106007441323,-0.03435194989508847,-2.0679691608016526e-06,True,100,100,97,kappa,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10831,1e-05,0.08538635311952321,,,,
M5,84,3,-55.04182138497276,116.08364276994551,116.38364276994551,123.37609316647546,0.0031351443302002242,0.05465996721909172,True,100,100,86,theta,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10831,0.08675893201119472,0.07450820824191234,5.0,,,
M6,84,3,-52.917769499617016,111.83553899923403,112.13553899923403,119.12798939576398,0.039615610063457124,0.09114043295234864,True,100,100,87,theta,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10831,0.07836591925520031,0.0678629563076654,5.0,,,
M7,84,4,-52.72621106511239,113.45242213022478,113.95875124414883,123.17568932559803,0.025730673904068045,0.09443043775592341,True,100,100,93,theta,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,sub-10831,0.09567165838531783,0.06820123671560963,5.0,3.4318976119077673,,
M8,84,3,-54.274117645995005,114.54823529199001,114.84823529199001,121.84068568851995,0.01632041072418971,0.06784523361308126,True,100,100,11,alpha_negative,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10831,0.2755954948042168,0.4902202486946084,,,0.0,
M3,84,3,-51.62162768438081,109.24325536876162,109.54325536876162,116.53570576529157,0.06187676921976773,0.1134015921086593,True,100,100,16,,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10831,0.6810610749130156,0.02717020398509753,,,,1.463773642627652
M4,84,3,-52.54044514677455,111.0808902935491,111.3808902935491,118.37334069007905,0.04609613354741499,0.09762095643630653,True,100,100,87,,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10831,0.5586195316989517,0.04002891365905082,1.0944861550615355,,,
M0,84,0,-58.224363167035406,116.44872633407081,116.44872633407081,116.44872633407081,0.0,0.0,True,1,1,1,,exact,sub-10834,,,,,,
M1,84,1,-58.224823168685404,118.44964633737081,118.49842682517568,120.88046313621412,-0.017182841464145428,-7.900501181490327e-06,True,100,100,100,kappa,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10834,1e-05,,,,,
M2,84,2,-58.22482176587264,120.44964353174528,120.59779167989343,125.31127712943191,-0.03435775833388288,-7.876407955187403e-06,True,100,100,100,kappa,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10834,1e-05,0.30725179879562536,,,,
M5,84,3,-51.307520143723885,108.61504028744777,108.91504028744777,115.90749068397771,0.06727154768657223,0.11879637057546377,True,100,100,100,theta,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10834,0.15415835668427802,0.0843748891532113,5.0,,,
M6,84,3,-33.96366746312481,73.92733492624961,74.22733492624961,81.21978532277956,0.3651511935462037,0.4166760164350952,True,100,100,99,theta,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10834,0.29807106141386214,0.11536726685788942,5.0,,,
M7,84,4,-33.96366746312481,75.92733492624961,76.43366404017367,85.65060212162287,0.34797625258323983,0.4166760164350952,True,100,100,100,theta;theta_stranger,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10834,0.2980710617658819,0.11536726411893612,5.0,5.0,,
M8,84,3,-21.22637686511703,48.45275373023406,48.752753730234055,55.745204126763994,0.5839134075951017,0.6354382304839934,True,100,100,22,alpha_negative,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10834,1.4951298978006544,0.55072037177378,,,0.0,
M3,84,3,-11.544624617181888,29.089249234363777,29.389249234363778,36.38169963089372,0.7501969308714304,0.801721753760322,True,100,100,100,alpha,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10834,1.9832382443994172,0.0,,,,2.799167638498826
M4,84,3,-12.180432605563169,30.360865211126338,30.66086521112634,37.65331560765628,0.7392769662072011,0.7908017890960927,True,100,100,99,theta,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10834,0.669822091620132,0.17235682842652203,5.0,,,
M0,41,0,-28.419034402957756,56.83806880591551,56.83806880591551,56.83806880591551,0.0,0.0,True,1,1,1,,exact,sub-10836,,,,,,
M1,41,1,-28.41904190377963,58.83808380755926,58.94064791012336,60.55165587426357,-0.035187947860670296,-2.639365492829171e-07,True,100,100,100,kappa,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10836,1e-05,,,,,
M2,41,2,-28.0603394060581,60.1206788121162,60.436468285800416,63.54782294552482,-0.057753721672173505,0.012621646176068646,True,100,100,91,,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10836,0.1767277921806112,0.3807038676154533,,,,
M5,41,3,-27.450906302060183,60.901812604120366,61.55046125276901,66.04252880423329,-0.07149686615991979,0.034066185612443345,True,100,100,81,,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10836,0.37964364653725047,0.2472177145251215,0.7167355181185443,,,
M6,41,3,-27.73918270723389,61.47836541446778,62.12701406311643,66.61908161458071,-0.08164064518795408,0.02392240658440914,True,100,100,48,,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10836,0.4071556345400115,0.1883307364506017,0.4170336317208032,,,
M7,41,4,-27.410163607515926,62.82032721503185,63.93143832614297,69.67461548184909,-0.10525090902620055,0.03549982667028373,True,100,100,69,,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10836,0.47491510244169866,0.20030554329453254,0.6628984432856561,0.15817395509275722,,
