run,model,age,parameter,mean,median,ci_low,ci_high
H2_full_age,H2,64.26666666666667,kappa,0.015924055376430584,0.014277046482125896,0.0050649097670366315,0.03603834855910526
H2_full_age,H2,65.25,alpha,0.232968064327082,0.20108579405524846,0.04690086958556923,0.5867130095308478
H2_full_age,H2,65.25,kappa,0.015786006666291614,0.014082153347212177,0.004887240613463658,0.0363216297292802
H2_full_age,H2,66.23333333333333,alpha,0.2340471017441298,0.2015740616566206,0.0460467667384863,0.592350772525839
H2_full_age,H2,66.23333333333333,kappa,0.015652873060429087,0.013887059666076626,0.004707367408581626,0.036644819461530656
H2_full_age,H2,67.21666666666667,alpha,0.2351410201054723,0.20211856615300838,0.04524146785975233,0.5992288512119652
H2_full_age,H2,67.21666666666667,kappa,0.015524552375536706,0.013701267052779551,0.004532897519809977,0.036983855053430326
H2_full_age,H2,68.19999999999999,alpha,0.23624940605282096,0.20288032593263328,0.044568292887938454,0.6051449088141231
H2_full_age,H2,68.19999999999999,kappa,0.015400946784039107,0.013517823288457253,0.004356151378151176,0.03731405196572523
H2_full_age,H2,69.18333333333334,alpha,0.23737184069585468,0.20315426216764298,0.04394038647792557,0.6109381017599427
H2_full_age,H2,69.18333333333334,kappa,0.015281962687180642,0.013312680900508517,0.004182142652799404,0.03773895840616614
H2_full_age,H2,70.16666666666666,alpha,0.23850790024368312,0.20367281220972644,0.043254982117391545,0.6166857451019616
H2_full_age,H2,70.16666666666666,kappa,0.015167510594418829,0.013119907559482561,0.004019471468596664,0.038105071200329674
H2_full_age,H2,71.15,alpha,0.23965715663507137,0.20414283866607622,0.042389045064749276,0.62246223420929
H2_full_age,H2,71.15,kappa,0.01505750500890046,0.012936758760922616,0.0038665681678954297,0.038511035614714716
H2_full_age,H2,72.13333333333333,alpha,0.24081917816609338,0.2047224482255414,0.04147224663186927,0.628783330981359
H2_full_age,H2,72.13333333333333,kappa,0.01495186431881112,0.012767512182955142,0.003707188365929684,0.03889544267723051
H2_full_age,H2,73.11666666666667,alpha,0.2419935301138652,0.20532303188830753,0.04068354700503729,0.6339529208094887
H2_full_age,H2,73.11666666666667,kappa,0.014850510694400597,0.012586708931031077,0.0035612854001056326,0.03926992920572062
H2_full_age,H2,74.1,alpha,0.2431797753549621,0.20610730542242617,0.04008312742065829,0.6388459468250306
H2_full_age,H2,74.1,kappa,0.01475336999049866,0.012402984605373655,0.003430875623451617,0.03971375324957447
H2_full_age,H2,75.0,alpha,0.24427554167655985,0.2068722816153329,0.03935797061092349,0.6441898989319129
H2_full_age,H2,75.0,kappa,0.014668093903378818,0.012243114415895408,0.003303590561339222,0.0401384981219638
H2_full_age,H2,75.08333333333333,alpha,0.244377474977065,0.20691690732669316,0.03932935972093517,0.6443124304091883
H2_full_age,H2,75.08333333333333,kappa,0.014660371654346492,0.012231342703777789,0.0032923861187414472,0.040170870009178385
H2_full_age,H2,76.06666666666666,alpha,0.2455861888823096,0.2074240120664727,0.038739468688850455,0.6508765993468293
H2_full_age,H2,76.06666666666666,kappa,0.014571448638580033,0.012056208468128052,0.003167311664605296,0.04057214914817804
H2_full_age,H2,77.05,alpha,0.24680547638075037,0.20805596387887262,0.03777990611762967,0.6567416289419569
H2_full_age,H2,77.05,kappa,0.014486537319211734,0.011890540692596152,0.0030380521922934774,0.04094427346760523
H2_full_age,H2,78.03333333333333,alpha,0.24803489677229787,0.20914108479689394,0.036995250821997075,0.66333237580646
H2_full_age,H2,78.03333333333333,kappa,0.014405577418467251,0.011722595248876089,0.0029228374498412243,0.04140501499569607
H2_full_age,H2,79.01666666666667,alpha,0.24927400991545764,0.2098586545486965,0.03606965386721808,0.6696396104780714
H2_full_age,H2,79.01666666666667,kappa,0.014328511932343272,0.011557734184525926,0.0027997774566717853,0.04183433392106067
H2_full_age,H2,80.0,alpha,0.25052237678119865,0.21042839574195207,0.035434352504876386,0.6753019866484359
H2_full_age,H2,80.0,kappa,0.01425528706276203,0.011389844882331954,0.0026904536266478584,0.04239331021520387
