model,n,k,log_likelihood,AIC,AICc,BIC,pseudo_r2_fareri,pseudo_r2_mcfadden,converged,n_starts,n_converged,n_near_best,boundary_parameters,optimizer_message,alpha,kappa,theta,participant_id,heldout_n,heldout_log_loss,heldout_accuracy,heldout_brier,split,theta_stranger
M5_theta10,27,3,-1.1767836442747015,8.353567288549403,9.397045549418968,12.24107788656239,0.7768212944273614,0.9371207434150239,True,100,100,95,kappa,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.318241433371792,20.0,8.6348687752302,sub-10608,15,0.7498122189296088,0.8666666666666667,0.13111942129379534,chronological_65_percent,
M6_theta10,27,3,-15.211563421259646,36.423126842519295,37.46660510338886,40.310637440532275,0.026898806122735677,0.18719825511039834,True,100,100,29,alpha,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.0,2.6269235544883496,0.5115449594830764,sub-10608,15,0.45258821103042984,0.8,0.15547442135916384,chronological_65_percent,
M7_theta10,27,4,-0.3995709867632825,8.799141973526565,10.617323791708383,13.982489437543881,0.7649170650132462,0.9786496636634631,True,100,100,100,kappa;theta,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.29401586984587585,20.0,10.0,sub-10608,15,0.8382816346802371,0.8666666666666667,0.1284273857672286,chronological_65_percent,0.08985120827711464
M4_theta10,27,3,-15.951746593103252,37.903493186206504,38.946971447076066,41.79100378421949,-0.012651512076087702,0.14764793691157485,True,100,100,96,,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.035260264214222015,2.262217900880681,0.9771639811807351,sub-10617,15,0.7880472888428276,0.6666666666666666,0.26118127468027186,chronological_65_percent,
M5_theta10,27,3,-15.110105631087391,36.220211262174786,37.26368952304435,40.107721860187766,0.03232001540944178,0.19261946439710442,True,100,100,100,theta,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.3478972302813897,0.17228583986232984,10.0,sub-10617,15,1.0049479505044117,0.6,0.2823409746826223,chronological_65_percent,
M6_theta10,27,3,-16.469991715460946,38.93998343092189,39.983461691791454,42.82749402893488,-0.04034298126091508,0.1199564677267475,True,100,100,100,alpha,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.0,0.5061594866753529,1.2357684608329893,sub-10617,15,0.7077516014509714,0.6,0.25570082981815323,chronological_65_percent,
M7_theta10,27,4,-14.768705209756128,37.537410419512256,39.355592237694076,42.72075788352957,-0.0028710344452598673,0.21086156420495694,True,100,100,100,theta,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.32897633564856193,0.18737685400446785,10.0,sub-10617,15,1.0205315041295533,0.6,0.27061469822845524,chronological_65_percent,1.174857067700283
M4_theta10,40,3,-12.388926762148518,30.777853524297036,31.444520190963704,35.84449188663885,0.444961791891122,0.5531639199577942,True,100,100,94,alpha;theta,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.0,0.21422291418622785,10.0,sub-10636,42,0.36677211044649943,0.9047619047619048,0.10958392347089167,run_1_to_2,
M5_theta10,40,3,-21.408004340893335,48.81600868178667,49.482675348453334,53.882647044128475,0.11966732948492234,0.2278694575515946,True,100,100,99,alpha;theta,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.0,0.14473503052784764,10.0,sub-10636,42,0.571463291567831,0.38095238095238093,0.20878440610856033,run_1_to_2,
M6_theta10,40,3,-15.44483620662869,36.88967241325738,37.556339079924044,41.95631077559919,0.33474315686718975,0.442945284933862,True,100,100,98,alpha;theta,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.0,0.14969735127247685,10.0,sub-10636,42,0.4460259592244998,0.6190476190476191,0.1537080973036766,run_1_to_2,
M7_theta10,40,4,-15.250013443449571,38.50002688689914,39.64288402975629,45.255544703354886,0.30570252670223563,0.449972030791132,True,100,100,100,alpha;theta,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.0,0.1962927568135944,10.0,sub-10636,42,0.44627193346182764,0.6190476190476191,0.15722616462883937,run_1_to_2,6.5181457202127735
M4_theta10,42,3,-2.52400949061376,11.04801898122752,11.67959792859594,16.261027836077623,0.8102509262397133,0.9133005720174965,True,100,100,100,kappa,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.0016553404431802346,20.0,1.167691610838747,sub-10638,41,0.5689076713261891,0.975609756097561,0.026708544701824547,run_1_to_2,
M5_theta10,42,3,-22.97200437082671,51.94400874165342,52.57558768902184,57.15701759650352,0.10786471648242438,0.21091436226020743,True,100,100,99,alpha;theta,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.0,0.13315194894326626,10.0,sub-10638,41,0.5400851389354676,0.36585365853658536,0.19456262867261362,run_1_to_2,
M6_theta10,42,3,-12.532795205161932,31.065590410323864,31.697169357692285,36.278599265173966,0.4664503187230717,0.5694999645008548,True,100,100,97,alpha;theta,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.0,0.24080170332836565,10.0,sub-10638,41,0.4001865768280605,0.6585365853658537,0.12844296443768202,run_1_to_2,
M7_theta10,42,4,-12.532795205161927,33.06559041032385,34.14667149140493,40.01626888345733,0.43210043679714427,0.5694999645008549,True,100,100,100,alpha;theta;theta_stranger,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.0,0.24080170427366537,10.0,sub-10638,41,0.40018657726474494,0.6585365853658537,0.12844296451641146,run_1_to_2,10.0
M4_theta10,42,3,-16.64099237813027,39.28198475626054,39.91356370362896,44.494993611110644,0.3253342309031793,0.42838387668096234,True,100,100,89,,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.017639396775866876,13.121338183875345,0.9096479598836109,sub-10640,41,0.7687241730499552,0.6097560975609756,0.25490243681341435,run_1_to_2,
M5_theta10,42,3,-16.38112501266467,38.76225002532934,39.393828972697754,43.97525888017944,0.33426064422332463,0.43731029000110777,True,100,100,100,,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.18251057098479803,1.4681114758836347,1.0369311322211392,sub-10640,41,0.7816233077302975,0.6097560975609756,0.24608130926230024,run_1_to_2,
M6_theta10,42,3,-22.83830924503172,51.67661849006344,52.30819743743186,56.88962734491355,0.11245712826755433,0.21550677404533747,True,100,100,98,,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.13821331812481386,1.4966230782885925,0.5170762061797166,sub-10640,41,0.6340915467355475,0.5853658536585366,0.2265267419090338,run_1_to_2,
M7_theta10,42,4,-16.38112501266467,40.76225002532934,41.84333110641042,47.71292849846281,0.29991076229739694,0.43731029000110777,True,100,100,98,theta_stranger,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.18251057078238733,1.4681114758044516,1.036931135266041,sub-10640,41,0.7816233095142374,0.6097560975609756,0.24608130960083763,run_1_to_2,0.0
M4_theta10,27,3,-7.76841585650185,21.5368317130037,22.580309973873266,25.424342311016687,0.4246096239109149,0.5849090728985775,True,100,100,88,,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.002780370949622593,16.522885134716006,0.6171587889377135,sub-10641,15,0.9166837070312054,0.6,0.26218869608379225,chronological_65_percent,
M5_theta10,27,3,-7.765762308533434,21.531524617066868,22.575002877936434,25.419035215079855,0.424751411336648,0.5850508603243106,True,100,100,100,theta,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.14278058146153164,1.1857216891889195,10.0,sub-10641,15,0.7061665679941637,0.4666666666666667,0.2409125040088527,chronological_65_percent,
M6_theta10,27,3,-18.362825306147155,42.72565061229431,43.76912887316387,46.6131612103073,-0.14148304179836113,0.018816407189301443,True,100,100,59,,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.08418555506407466,0.38653375469774326,0.7241858998818211,sub-10641,15,0.7168656273830503,0.4666666666666667,0.26063847124474315,chronological_65_percent,
M7_theta10,27,4,-7.765762308533434,23.531524617066868,25.349706435248684,28.714872081084184,0.3713182616740938,0.5850508603243106,True,100,100,97,theta;theta_stranger,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.1427805809055105,1.1857216977063212,10.0,sub-10641,15,0.7061665699242832,0.4666666666666667,0.2409125044361286,chronological_65_percent,0.0
M4_theta10,42,3,-15.156638865285274,36.31327773057055,36.944856677938965,41.52628658542065,0.37632159880574095,0.4793712445835241,True,100,100,98,,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.012700034931735594,5.829161355998031,0.5967025568842171,sub-10642,42,0.2915104439566733,0.9523809523809523,0.08665917846218499,run_1_to_2,
M5_theta10,42,3,-8.96973137086361,23.93946274172722,24.57104168909564,29.152471596577325,0.5888411407257623,0.6918907865035454,True,100,100,100,alpha;theta,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.0,2.110014951645533,10.0,sub-10642,42,0.16332658140995432,0.9523809523809523,0.04543611547798019,run_1_to_2,
M6_theta10,42,3,-22.235746187268237,50.471492374536474,51.10307132190489,55.68450122938658,0.13315509815465593,0.23620474393243907,True,100,100,98,,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.04321580018330513,2.756879704503901,0.44631423784315966,sub-10642,42,0.7788059969776472,0.47619047619047616,0.28183592748125535,run_1_to_2,
M7_theta10,42,4,-8.90914028787375,25.8182805757475,26.89936165682858,32.76895904888097,0.5565725553463003,0.6939720830500111,True,100,100,99,alpha;theta,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.0,2.3845833116135235,10.0,sub-10642,42,0.15534659467286266,0.9523809523809523,0.04338014475304741,run_1_to_2,0.10260994626403125
M4_theta10,41,3,-12.573480641750898,31.146961283501795,31.795609932150445,36.287677483614715,0.4520052855796514,0.5575683373520146,True,100,100,94,kappa,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.003665752210674811,20.0,0.9343246856556296,sub-10644,41,0.2394933369717085,0.926829268292683,0.07100540505366848,run_1_to_2,
M5_theta10,41,3,-12.532614827961805,31.06522965592361,31.71387830457226,36.205945856036536,0.453443258918564,0.5590063106909271,True,100,100,100,theta,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.09468601410107863,1.320582642651024,10.0,sub-10644,41,0.23433462113399411,0.926829268292683,0.06961659322165738,run_1_to_2,
M6_theta10,41,3,-22.662383279436156,51.32476655887231,51.97341520752096,56.46548275898523,0.09700016842355126,0.20256322019591444,True,100,100,100,,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.11665237676737839,1.7323552908309319,0.6029108939472378,sub-10644,41,0.7034335245572362,0.5609756097560976,0.25578851471465397,run_1_to_2,
M7_theta10,41,4,-12.50926423628972,33.01852847257944,34.129639583690555,39.87281673939667,0.41907722823364146,0.5598279639301257,True,100,100,100,theta,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.10010395972850665,1.4303569076779137,10.0,sub-10644,41,0.23508970863084577,0.926829268292683,0.06987408427899891,run_1_to_2,0.07920592271097457
M4_theta10,41,3,-13.022375452709412,32.04475090541882,32.69339955406747,37.18546710553174,0.43620971685646515,0.5417727686288283,True,100,100,98,,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.016099520804418222,3.8631514801216484,0.6375888991991611,sub-10647,42,0.25823852243428536,0.9047619047619048,0.07898029114480073,run_1_to_2,
M5_theta10,41,3,-12.732156475304189,31.464312950608377,32.11296159925703,36.6050291507213,0.44642185050218175,0.5519849022745449,True,100,100,98,,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.028204910430472564,2.9900571320872933,0.4583496427717895,sub-10647,42,0.29209850923795927,0.8571428571428571,0.09279727698975636,run_1_to_2,
M6_theta10,41,3,-14.916871350691991,35.83374270138398,36.48239135003263,40.9744589014969,0.36954679400271023,0.4751098457750734,True,100,100,99,,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.0015658353700747024,3.2940000728570973,0.2880177053397134,sub-10647,42,0.25015919172715734,0.9047619047619048,0.07189741346995031,run_1_to_2,
M7_theta10,41,4,-12.732156475304187,33.464312950608374,34.57542406171949,40.31860121742561,0.4112341665780607,0.551984902274545,True,100,100,99,theta_stranger,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.028204910125438597,2.9900571431542753,0.4583496449726283,sub-10647,42,0.2920985099450654,0.8571428571428571,0.09279727739395927,run_1_to_2,0.0
M4_theta10,38,3,-3.678081323822064,13.356162647644128,14.062045000585304,18.268921126823287,0.7464622418807554,0.860359218793042,True,100,100,13,alpha;kappa,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.0,20.0,0.6933080603227306,sub-10649,39,0.34474052179179865,0.9743589743589743,0.03332660568036727,run_1_to_2,
M5_theta10,38,3,-20.59150953489217,47.18301906978434,47.88890142272552,52.0957775489635,0.10433279439279916,0.2182297713050857,True,100,100,99,alpha;theta,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.0,0.13966748798473477,10.0,sub-10649,39,0.6603501079641819,0.28205128205128205,0.22901929732441736,run_1_to_2,
M6_theta10,38,3,-9.919522459839264,25.83904491967853,26.544927272619706,30.751803398857685,0.5095018162246397,0.6233987931369264,True,100,100,99,alpha;theta,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.0,0.2657892865662377,10.0,sub-10649,39,0.4923957955025809,0.6410256410256411,0.1363751217739663,run_1_to_2,
M7_theta10,38,4,-9.919522459839264,27.83904491967853,29.05116613179974,34.38938955858407,0.4715361572538776,0.6233987931369264,True,100,100,97,alpha;theta;theta_stranger,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.0,0.26578929043396404,10.0,sub-10649,39,0.49239579864896543,0.6410256410256411,0.13637512212593547,run_1_to_2,10.0
M4_theta10,42,3,-23.207907301512126,52.41581460302425,53.04739355039267,57.62882345787436,0.09976147866740002,0.20281112444518312,True,100,100,29,,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.026355400594877437,2.0758470881917392,1.0621464418240865,sub-10652,42,0.7389058988534203,0.6428571428571429,0.24765534394253,run_1_to_2,
M5_theta10,42,3,-22.3508804416297,50.7017608832594,51.333339830627814,55.9147697381095,0.12920025011171,0.23224989588949307,True,100,100,100,theta,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.456668111247778,0.22315711688790993,10.0,sub-10652,42,0.8345221347516226,0.6190476190476191,0.2394937846769756,run_1_to_2,
M6_theta10,42,3,-27.19981326516215,60.3996265303243,61.031205477692716,65.6126353851744,-0.0373600198433849,0.0656896259343982,True,100,100,71,theta,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.00727790918249935,0.033205988650602536,10.0,sub-10652,42,0.6617388118493055,0.5952380952380952,0.23469714476951317,run_1_to_2,
M7_theta10,42,4,-22.3508804416297,52.7017608832594,53.78284196434048,59.65243935639287,0.0948503681857823,0.23224989588949307,True,100,100,100,theta;theta_stranger,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.456668116241461,0.22315711839988975,10.0,sub-10652,42,0.8345221368587891,0.6190476190476191,0.23949378471143504,run_1_to_2,0.0
M4_theta10,42,3,-18.337841032595822,42.675682065191644,43.30726101256006,47.88869092004175,0.26704767997611834,0.3700973257539014,True,100,100,91,,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.0014521633003615102,5.296423964725237,0.6852535736096348,sub-10656,42,0.3842613162222779,0.7857142857142857,0.1290168012162623,run_1_to_2,
M5_theta10,42,3,-21.76622767680843,49.53245535361686,50.16403430098528,54.74546420846697,0.14928300355098773,0.25233264932877086,True,100,100,93,,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.014451626796675523,1.3800724816006562,0.3514362363967956,sub-10656,42,0.4331465089187929,0.7857142857142857,0.13853757712550366,run_1_to_2,
M6_theta10,42,3,-17.552654303717105,41.10530860743421,41.73688755480263,46.31831746228431,0.2940187514029077,0.39706839718069076,True,100,100,89,kappa,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.0028802251020866826,20.0,0.4893354653365082,sub-10656,42,0.4027853331368109,0.7142857142857143,0.13904972542354901,run_1_to_2,
M7_theta10,42,4,-17.471735156268487,42.943470312536974,44.024551393618054,49.894148785670446,0.2624484326373867,0.3998479603410975,True,100,100,78,kappa,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.00448235009469578,20.0,0.4856073323441912,sub-10656,42,0.4257516605330958,0.7142857142857143,0.14979637768410442,run_1_to_2,0.4965067982998239
M4_theta10,42,3,-15.698237546525379,37.39647509305075,38.02805404041917,42.60948394790086,0.35771774805390527,0.4607673938316883,True,100,100,100,,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.231821025471115,0.499397066274444,3.5030978408614493,sub-10661,42,0.22385370764315202,0.9285714285714286,0.05921048286312658,run_1_to_2,
M5_theta10,42,3,-21.891428108069825,49.78285621613965,50.41443516350807,54.99586507098975,0.1449823835200836,0.24803202929786672,True,100,100,53,theta,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.3277202683504733,0.16671886811868472,10.0,sub-10661,42,0.5841708720327274,0.47619047619047616,0.21473069695693137,run_1_to_2,
M6_theta10,42,3,-22.601198867540795,51.20239773508159,51.83397668245001,56.41540658993169,0.12060184173777974,0.22365148751556285,True,100,100,99,theta,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.44505031748214663,0.08027996232916766,10.0,sub-10661,42,0.42014710372184905,0.7380952380952381,0.1361281502518359,run_1_to_2,
M7_theta10,42,4,-20.408809504717176,48.81761900943435,49.89870009051543,55.768297482567824,0.1615602755605032,0.298959803264214,True,100,100,100,theta,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.37126865311279283,0.20964740337148347,10.0,sub-10661,42,0.45611699904191266,0.6904761904761905,0.15719207224585124,run_1_to_2,2.4184975732276577
M4_theta10,38,3,-18.440970505903266,42.88194101180653,43.587823364747706,47.79469949098569,0.18597942577070603,0.29987640268299265,True,100,100,94,,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.02145004483620308,8.05070188975304,0.5446805427104358,sub-10663,38,0.820114760362438,0.631578947368421,0.2718996840847594,run_1_to_2,
M5_theta10,38,3,-20.230737095205978,46.461474190411955,47.16735654335313,51.37423266959111,0.11802975780397507,0.23192673471626168,True,100,100,99,,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.0941064948458362,1.2145832651524804,0.6249046898961034,sub-10663,38,0.5978637835615619,0.6842105263157895,0.2050759173721003,run_1_to_2,
M6_theta10,38,3,-18.642576191383313,43.285152382766626,43.9910347357078,48.197910861945786,0.1783253330692038,0.29222230998149046,True,100,100,84,,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.01987949560735068,3.2814358427772836,0.47627992071674274,sub-10663,38,0.8678028393709656,0.6052631578947368,0.24178082205955978,run_1_to_2,
M7_theta10,38,4,-17.895830103419684,43.79166020683937,45.00378141896058,50.34200484574491,0.16871038141181957,0.3205730172948683,True,100,100,84,,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.03417020640941348,3.397236280369412,0.5568537391233456,sub-10663,38,0.8965399337402794,0.631578947368421,0.25601078781107495,run_1_to_2,0.41581044467777567
M4_theta10,24,3,-16.49812017486137,38.99624034972274,40.19624034972274,42.53040184076658,-0.17207672012206454,0.008260159989055937,True,100,100,68,theta,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.162994750830036,0.1741601264301902,0.0,sub-10668,13,0.7101667403735805,0.3076923076923077,0.2585136260974956,chronological_65_percent,
M5_theta10,24,3,-12.173810702937327,30.347621405874655,31.547621405874654,33.881782896918494,0.08786743947851833,0.26820431958963875,True,100,100,100,,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.03697434108040715,1.2948964730046615,0.9525923590576751,sub-10668,13,0.8609154887045645,0.6153846153846154,0.3016951322513872,chronological_65_percent,
M6_theta10,24,3,-14.638395792199987,35.27679158439997,36.476791584399976,38.81095307544381,-0.060284422443486745,0.12005245766763373,True,100,100,100,,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.019497522372243708,1.492131735036499,0.5997880360952491,sub-10668,13,0.7635769155362223,0.6923076923076923,0.2529451057999559,chronological_65_percent,
M7_theta10,24,4,-12.144713173549388,32.289426347098775,34.394689504993515,37.00164166849056,0.029504265331065753,0.2699534388125596,True,100,100,100,,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.029161989914564285,1.4815476733303794,0.8966632223767189,sub-10668,13,0.858556958513356,0.6153846153846154,0.29574771935406374,chronological_65_percent,0.11742789668804392
M4_theta10,42,3,-28.629302484616296,63.25860496923259,63.89018391660101,68.4716138240827,-0.08646280574602141,0.016586840031761696,True,100,100,44,alpha,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.0,1.578169524982232,0.8830034234403009,sub-10673,42,0.7048755440463389,0.5238095238095238,0.2558118809265605,run_1_to_2,
M5_theta10,42,3,-27.278422319656187,60.556844639312374,61.18842358668079,65.76985349416248,-0.040060231583563914,0.06298941419421922,True,100,100,100,alpha,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.0,0.22982846317902944,2.30012184168318,sub-10673,42,0.7627648459915064,0.47619047619047616,0.28236916235376674,run_1_to_2,
M6_theta10,42,3,-29.103095359515113,64.20619071903022,64.83776966639864,69.41919957388033,-0.10273753505614146,0.0003121107216415009,True,100,100,97,alpha;theta,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.0,0.002138311781581377,10.0,sub-10673,42,0.6919125981877025,0.5238095238095238,0.24938342434657387,run_1_to_2,
M7_theta10,42,4,-27.278422319656187,62.556844639312374,63.637925720393454,69.50752311244585,-0.07441011350949162,0.06298941419421922,True,100,100,100,alpha;theta_stranger,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.0,0.22982847425230482,2.3001217779668917,sub-10673,42,0.7627648483113777,0.47619047619047616,0.28236916336284573,run_1_to_2,0.0
M4_theta10,42,3,-0.0,6.0,6.631578947368421,11.213008854850106,0.8969503542222169,1.0,True,100,100,100,kappa;theta,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.03959724748887867,20.0,10.0,sub-10674,42,0.0,1.0,0.0,run_1_to_2,
M5_theta10,42,3,-23.03810398467183,52.07620796934366,52.70778691671208,57.28921682419377,0.10559420255149503,0.20864384832927807,True,100,99,99,alpha;theta,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.0,0.1312569516303335,10.0,sub-10674,42,0.5485262853493297,0.3333333333333333,0.1980654141621443,run_1_to_2,
M6_theta10,42,3,-12.65199696244499,31.30399392488998,31.9355728722584,36.51700277974008,0.46235575243503557,0.5654053982128187,True,100,100,84,alpha;theta,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.0,0.23605088755621773,10.0,sub-10674,42,0.301238022915357,0.6666666666666666,0.10915715927810886,run_1_to_2,
M7_theta10,42,4,-12.65199696244499,33.30399392488998,34.38507500597106,40.25467239802345,0.4280058705091079,0.5654053982128187,True,100,100,93,alpha;theta;theta_stranger,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.0,0.2360508889627965,10.0,sub-10674,42,0.301238022915357,0.6666666666666666,0.10915715938526349,run_1_to_2,10.0
M4_theta10,40,3,-26.814151960808978,59.628303921617956,60.29497058828462,64.69494228395976,-0.07531822955422693,0.03288389851244533,True,100,100,60,,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.22703034372424946,0.4225180340230873,0.8773060946157109,sub-10677,42,0.6626055409414585,0.6904761904761905,0.23336085606268067,run_1_to_2,
M5_theta10,40,3,-26.290703774061317,58.581407548122634,59.2480742147893,63.64804591046445,-0.056438826974647666,0.05176330109202454,True,100,100,95,,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.22167688900374244,0.3370913724349567,1.0396319328542551,sub-10677,42,0.5989469061969687,0.7142857142857143,0.2043026952372612,run_1_to_2,
M6_theta10,40,3,-26.5953250967604,59.1906501935208,59.85731686018747,64.25728855586262,-0.06742571876482281,0.04077640930184945,True,100,100,51,,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.2642321254779157,0.345667162752173,0.5809344238858826,sub-10677,42,0.6678509509582697,0.6666666666666666,0.23437192568439155,run_1_to_2,
M7_theta10,40,4,-26.210770837700764,60.42154167540153,61.564398818258674,67.17705949185728,-0.08962323172459517,0.054646272364301196,True,100,100,46,,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.202485388185974,0.40275084149358675,0.9650599801949548,sub-10677,42,0.6108199791621358,0.6904761904761905,0.21008143016107012,run_1_to_2,0.25214118362751314
M4_theta10,41,3,-18.484236163721736,42.96847232744347,43.61712097609212,48.1091885275564,0.24401948851978833,0.3495825402921515,True,100,100,98,kappa,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.01707151594065426,20.0,0.49804457362468985,sub-10685,42,0.5348679370960557,0.7142857142857143,0.17439103190237576,run_1_to_2,
M5_theta10,41,3,-4.639648846440261,15.279297692880522,15.927946341529172,20.420013892993445,0.7311784511001841,0.8367415028725472,True,100,100,100,theta,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.12917975051998679,2.9510525391307434,10.0,sub-10685,42,1.9915144241554994,0.7857142857142857,0.197960413356509,run_1_to_2,
M6_theta10,41,3,-8.03889944346826,22.07779888693652,22.72644753558517,27.218515087049443,0.611566695513083,0.7171297472854461,True,100,100,96,kappa,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.034391562658321946,20.0,0.5453495131909027,sub-10685,42,1.4257932483516174,0.8095238095238095,0.16497931409495595,run_1_to_2,
M7_theta10,41,4,-3.051071386532288,14.102142773064575,15.213253884175685,20.956431039881807,0.7518891287242879,0.892639864420772,True,100,100,99,,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.1333522705531287,7.712456179962353,7.7248334929232785,sub-10685,42,3.5225396402062006,0.8333333333333334,0.15783226140793702,run_1_to_2,0.4495095158856278
M4_theta10,26,3,-14.580173096828487,35.16034619365698,36.25125528456607,38.93463580772142,0.02450659443215259,0.19097140684241776,True,100,100,81,,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.03570271910293732,2.76250871324037,0.6757196164371914,sub-10690,15,0.8522521668495903,0.4666666666666667,0.3135669703504494,chronological_65_percent,
M5_theta10,26,3,-14.834058968781875,35.66811793756375,36.75902702847284,39.44240755162819,0.010418906416040253,0.17688371882630527,True,100,100,99,,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.08039657274438824,0.8647714750722675,1.0249774670558414,sub-10690,15,0.9006145492615077,0.4,0.33608669121999196,chronological_65_percent,
M6_theta10,26,3,-16.563116996629297,39.126233993258595,40.21714308416769,42.90052360732304,-0.08552353366798773,0.0809412787422773,True,100,100,76,alpha,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.0,1.0476925064576061,0.6644865010512125,sub-10690,15,0.7312505298475424,0.7333333333333333,0.2531751622009274,chronological_65_percent,
